رقم البند,رمز النظام المتناسق,المستوى,نوع البضاعة,الاسم التجاري,رسم الاستيراد,بدل خدمات الاستيراد,رسم الاستيراد الكلي,الوحدة القياسية
1.01,0101.21.00,-,خيل وحمير وبغال,خيل حية للذبح,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.01,0101.29.00,-,غيرها,غيرها من خيل وحمير وبغال,40,13,53,عدد
1.01,0101.30.00,-,حمير,حمير,40,13,53,عدد
1.01,0101.90.00,-,بغال,بغال,40,13,53,عدد
1.02,0102.21.00,-,من فصيلة الأبقار,أبقار حية للذبح (خالصة التربية),قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.02,0102.29.00,-,غيرها,أبقار حية للذبح (غير خالصة التربية),قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.02,0102.31.00,-,من فصيلة الجاموس,Buffalo حي,20,7,27,عدد
1.02,0102.39.00,-,غيرها,جاموس حي عدا Buffalo,20,7,27,عدد
1.02,0102.90.00,-,غيرها,غيرها من فصيلة الأبقار,20,7,27,عدد
1.03,0103.10.00,-,فصيلة الخنازير,خنازير أصلية من فصيلة الخنازير للتربية,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.03,0103.91.00,-,غيرها، وزنها أقل من 50 كغ,خنازير للذبح وزنها اقل من 50 كغ,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.03,0103.92.00,-,غيرها، وزنها 50 كغ أو أكثر,خنازير للذبح وزنها 50 كغ او اكثر,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.04,0104.10.00,-,من فصيلة الضأن,خراف حية للذبح,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.04,0104.20.00,-,من فصيلة الماعز,ماعز حي للذبح,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.05,0105.11.00,-,دجاج من فصيلة غالوس دومستيكاس,فروج حي (كتاكيت أم),قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.05,0105.12.00,-,ديوك رومية (ديك حبش),ديوك رومية حية (ديك حبش),20,7,27,عدد
1.05,0105.13.00,-,بط,بط حي,20,7,27,عدد
1.05,0105.14.00,-,إوز,إوز حي,20,7,27,عدد
1.05,0105.15.00,-,دجاج غينيا (غفر),دجاج غينيا حي (غفر),20,7,27,عدد
1.05,0105.19.00,-,غيرها,طيور دواجن حية أخرى,20,7,27,عدد
1.06,0106.11.00,-,ثدييات,قرود حية,40,13,53,عدد
1.06,0106.12.00,-,حيتان ودلافين وأطوم و فقمات,حيتان ودلافين وأطوم وفقمة حية,5,2,7,عدد
1.06,0106.13.00,-,جمال وغيره من فصيلة الجمليات,جمال وغيره من فصيلة الجمليات (كاميلية) حية,40,13,53,عدد
1.06,0106.14.00,-,أرانب وأراج,أرانب وأراج حية,40,13,53,عدد
1.06,0106.19.00,-,غيرها,غيرها من ثدييات حية,40,13,53,عدد
1.06,0106.20.00,-,زواحف (بما فيها الأفاعي والسلاحف),زواحف (بما فيها الأفاعي والسلاحف),5,2,7,عدد
1.06,0106.31.10,-,جوارح (طيور مفترسة),جوارح (طيور مفترسة): (البوم وغيرها),38,12,50,عدد
1.06,0106.31.90,-,جوارح (طيور مفترسة),جوارح (طيور مفترسة): (طيور حرة),375,125,500,عدد
1.06,0106.32.00,-,فصيلة الببّاغاوات,فصيلة الببّاغاوات حية,75,25,100,عدد
1.06,0106.33.00,-,طيور النعام، نعام استرالي,طيور النعام، نعام استرالي,40,13,53,عدد
1.06,0106.39.00,-,غيرها,غيرها من الطيور,5,2,7,عدد
1.06,0106.41.00,-,حشرات,حشرات نحل (وإن كانت بشكل صناديق),4,1,5,عدد
1.06,0106.49.00,-,غيرها,غيرها من الحشرات,4,1,5,عدد
1.06,0106.90.00,-,غيرها,غيرها من الحيوانات الحية (ضفادع وغيرها),4,1,5,عدد
2.01,0201.10.00,-,ذبائح كاملة وأنصاف ذبائح,ذبائح الأبقار كاملة وأنصاف ذبائح، طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.01,0201.20.00,-,قطع أخرى بعظامها,قطع أخر من لحوم الأبقار بعظامها، طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.01,0201.30.00,-,بدون عظام,قطع أخر من لحوم الأبقار بدون عظام، طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.02,0202.10.00,-,ذبائح كاملة وأنصاف ذبائح,ذبائح الأبقار كاملة وأنصاف ذبائح، مجمدة,75,25,100,وزن
2.02,0202.20.00,-,قطع أخرى بعظامها,قطع أخر من لحوم الأبقار بعظامها، مجمدة,75,25,100,وزن
2.02,0202.30.00,-,بدون عظام,قطع أخر من لحوم الأبقار بدون عظام، مجمدة,75,25,100,وزن
2.03,0203.11.00,-,ذبائح كاملة وأنصاف ذبائح,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الخنازير طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.03,0203.12.00,-,أفخاذ وأكتاف وقطعها بعظامها,أفخاذ وأكتاف وقطعها بعظمها من لحوم فصيلة الخنازير طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.03,0203.19.00,-,غيرها,لحوم من فصيلة الخنازير غير (ذبائح وأنصافها وأفخاذ وأكتاف وقطعها بعظمها) طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
